name,empid,maritalstatusid,performancescore,salary,position,dob,gender,dateofhire,dateoftermination,terminationreason,employmentstatus,department,managername,jobsatisfactionscore,absences
"MacLennan, Samuel",10191,4,3,52788,Production Technician I,11-09-72,M ,9/24/2012,9/26/2017,hours,Voluntarily Terminated,Production       ,Amy Dunn,3.08,18
"Mahoney, Lauren  ",10219,0,3,45395,Production Technician I,07-07-86,F,01-06-14,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,4.6,14
"Manchester, Robyn",10077,1,3,62385,Production Technician II,08/25/76,F,05-11-16,,N/A-StillEmployed,Active,Production       ,Webster Butler,5,4
"Mancuso, Karen",10073,1,3,68407,Production Technician II,12-10-86,F,07-05-11,8/19/2012,Another position,Voluntarily Terminated,Production       ,Amy Dunn,5,16
"Mangal, Debbie",10279,1,3,61349,Production Technician I,11-07-74,F,11-11-13,,N/A-StillEmployed,Active,Production       ,Brannon Miller,4.1,11
"Martin, Sandra",10110,0,3,105688,Software Engineer,11-07-87,F,11-11-13,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,4.5,14
"Maurice, Shana",10053,1,3,54132,Production Technician I,11/22/77,F,5/31/2011,,N/A-StillEmployed,Active,Production       ,David Stanley,5,8
"Carthy, B'rigit",10076,0,3,55315,Production Technician II,05/21/87,F,3/30/2015,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,5,16
"Mckenna, Sandy",10145,1,3,62810,Production Technician I,01-07-87,F,01-07-13,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,3.93,20
"McKinzie, Jac",10202,1,3,63291,Area Sales Manager,07-01-84,M ,07-06-16,,N/A-StillEmployed,Active,Sales,Lynn Daneault,3.4,7
"Meads, Elizabeth",10128,0,3,62659,Production Technician I,05/30/68,F,04-02-12,11-11-16,Another position,Voluntarily Terminated,Production       ,Kelley Spirea,4.18,17
"Medeiros, Jennifer",10068,0,3,55688,Production Technician I,09/22/76,F,3/30/2015,,N/A-StillEmployed,Active,Production       ,Michael Albert,5,10
"Miller, Brannon",10116,0,3,83667,Production Manager,08-10-81,M ,8/16/2012,,N/A-StillEmployed,Active,Production       ,Janet King,4.37,2
"Miller, Ned",10298,0,1,55800,Production Technician II,06/29/85,M ,8/15/2011,09-04-14,unhappy,Voluntarily Terminated,Production       ,Brannon Miller,3,6
"Monkfish, Erasumus",10213,1,3,58207,Production Technician II,08/17/92,M ,11-07-11,,N/A-StillEmployed,Active,Production       ,David Stanley,3.7,14
"Monroe, Peter",10288,1,2,157000,IT Manager - Infra,10-05-86,M ,2/15/2012,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,2.39,13
"Monterro, Luisa",10025,0,4,72460,Production Technician II,04/24/70,F,5/13/2013,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,4.7,1
"Moran, Patrick",10223,0,3,72106,Production Technician II,12-03-76,M ,01-09-12,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,4.1,12
"Morway, Tanya",10151,1,3,52599,Network Engineer,04-04-79,F,2/16/2015,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,3.81,6
"Motlagh,  Dawn",10254,2,3,63430,Production Technician I,07-07-84,F,04-01-13,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,4.4,18
"Moumanil, Maliki ",10120,3,3,74417,Production Technician II,12-01-74,M ,5/13/2013,,N/A-StillEmployed,Active,Production       ,Michael Albert,,11
"Myers, Michael",10216,0,3,57575,Production Technician I,04/18/80,M ,07-08-13,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,4.1,13
"Navathe, Kurt",10079,0,3,87921,Senior BI Developer,04/25/70,M ,02-10-17,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,5,17
"Ndzi, Colombui",10215,0,3,50470,Production Technician I,05-02-89,M ,9/26/2011,04-04-14,return to school,Voluntarily Terminated,Production       ,Webster Butler,4.3,19
"Ndzi, Horia",10185,1,3,46664,Production Technician I,03/28/83,M ,04-01-13,5/25/2016,more money,Voluntarily Terminated,Production       ,Amy Dunn,3.18,10
"Newman, Richard ",10063,1,3,48495,Production Technician I,04-08-77,M ,05-12-14,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,5,11
"Ngodup, Shari ",10037,3,4,52984,Production Technician I,06-03-67,F,04-01-13,,N/A-StillEmployed,Active,Production       ,Brannon Miller,4,12
"Nguyen, Dheepa",10042,0,3,63695,Area Sales Manager,03/31/89,F,07-08-13,,N/A-StillEmployed,Active,Sales,Lynn Daneault,5,2
"Nguyen, Lei-Ming",10206,0,3,62061,Production Technician I,07-07-84,F,07-08-13,,N/A-StillEmployed,Active,Production       ,David Stanley,3.6,4
"Nowlan, Kristie",10104,0,3,66738,Production Technician II,11/23/85,F,11-10-14,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,4.53,5
"O'hare, Lynn",10303,0,1,52674,Production Technician I,09/30/80,F,3/31/2014,05-01-18,performance,Terminated for Cause,Production       ,Kissy Sullivan,2.33,3
"Oliver, Brooke ",10078,1,3,71966,Production Technician II,02-11-52,F,5/14/2012,8/19/2013,unhappy,Voluntarily Terminated,Production       ,Webster Butler,5,17
"Onque, Jasmine",10121,0,3,63051,Area Sales Manager,05-11-90,F,9/30/2013,,N/A-StillEmployed,Active,Sales,Lynn Daneault,4.28,1
"Osturnka, Adeel",10021,1,4,47414,Production Technician I,12-11-76,M ,9/30/2013,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,5,13
"Owad, Clinton",10281,0,2,53060,Production Technician I,11/24/79,M ,2/17/2014,,N/A-StillEmployed,Active,Production       ,Michael Albert,4.25,6
"Ozark, Travis",10041,0,3,68829,Area Sales Manager,05/19/82,M ,01-05-15,,N/A-StillEmployed,Active,Sales,John Smith,5,18
"Panjwani, Nina",10148,1,3,63515,Production Technician I,05-01-79,F,02-07-11,01-12-14,Another position,Voluntarily Terminated,Production       ,Elijiah Gray,3.89,7
"Patronick, Lucas",10005,0,4,108987,Software Engineer,02/20/79,M ,11-07-11,09-07-15,Another position,Voluntarily Terminated,Software Engineering,Alex Sweetwater,5,13
"Pearson, Randall",10259,1,3,93093,Data Analyst,09-05-84,M ,12-01-14,05-01-16,performance,Voluntarily Terminated,IT/IS,Simon Roup,4.7,19
"Smith, Martin",10286,0,2,53564,Production Technician I,03/17/88,M ,01-10-11,12/28/2017,career change,Voluntarily Terminated,Production       ,Webster Butler,3.54,15
"Pelletier, Ermine",10297,1,2,60270,Production Technician II,07/18/89,F,07-05-11,9/15/2015,unhappy,Voluntarily Terminated,Production       ,Amy Dunn,2.4,2
"Perry, Shakira",10171,0,3,45998,Production Technician I,07/20/86,F,5/16/2011,10/25/2015,medical issues,Voluntarily Terminated,Production       ,Amy Dunn,3.45,5
"Peters, Lauren",10032,1,4,57954,Production Technician II,08/17/86,F,5/16/2011,02-04-13,more money,Voluntarily Terminated,Production       ,Ketsia Liebig,4.2,12
"Peterson, Ebonee  ",10130,1,3,74669,Production Manager,05-09-77,F,10/25/2010,5/18/2016,Another position,Voluntarily Terminated,Production       ,Janet King,4.16,6
"Petingill, Shana  ",10217,1,3,74226,Production Technician II,03-10-79,F,04-02-12,,N/A-StillEmployed,Active,Production       ,Brannon Miller,4.3,14
"Petrowsky, Thelma",10016,1,4,93554,Data Analyst,09/16/84,F,11-10-14,,N/A-StillEmployed,Active,IT/IS,Simon Roup,,16
"Pham, Hong",10050,1,3,64724,Production Technician I,03-06-88,M ,07-05-11,11/30/2012,more money,Voluntarily Terminated,Production       ,Brannon Miller,5,13
"Pitt, Brad ",10164,0,3,47001,Production Technician I,11/23/81,M ,11-05-07,,N/A-StillEmployed,Active,Production       ,David Stanley,3.66,15
"Potts, Xana",10124,1,3,61844,Area Sales Manager,08/29/88,F,01-09-12,,N/A-StillEmployed,Active,Sales,Lynn Daneault,4.2,9
"Power, Morissa",10187,2,3,46799,Production Technician I,10/15/84,F,5/16/2011,06-04-18,Another position,Voluntarily Terminated,Production       ,Kissy Sullivan,3.17,14
"Punjabhi, Louis  ",10225,0,3,59472,Production Technician I,06/19/61,M ,01-06-14,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,4.8,14
"Purinton, Janine",10262,2,3,46430,Production Technician I,09/22/70,F,9/24/2012,6/18/2013,unhappy,Voluntarily Terminated,Production       ,Kissy Sullivan,4.5,16
"Quinn, Sean",10131,1,3,83363,Software Engineer,11-06-84,M ,2/21/2011,8/15/2015,career change,Voluntarily Terminated,Software Engineering,Janet King,4.15,4
"Rachael, Maggie",10239,1,3,95920,BI Developer,05-12-80,F,10-02-16,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,4.4,10
"Rarrick, Quinn",10152,2,3,61729,Production Technician I,12/31/84,M ,9/26/2011,04-07-18,more money,Voluntarily Terminated,Production       ,Michael Albert,3.8,19
"Ren, Kylo",10140,1,3,61809,Area Sales Manager,10-12-54,M ,05-12-14,,N/A-StillEmployed,Active,Sales,John Smith,3.98,4
"Rhoads, Thomas",10058,2,3,45115,Production Technician I,07/22/82,M ,5/16/2011,1/15/2016,retiring,Voluntarily Terminated,Production       ,Elijiah Gray,5,11
"Rivera, Haley  ",10011,1,4,46738,Production Technician I,01-12-73,F,11/28/2011,,N/A-StillEmployed,Active,Production       ,Webster Butler,4.36,16
"Roberson, May",10230,2,3,64971,Production Technician II,09-05-81,F,9/26/2011,10/22/2011,return to school,Voluntarily Terminated,Production       ,David Stanley,4.5,10
"Robertson, Peter",10224,1,3,55578,Production Technician II,07-03-72,M ,07-05-11,02-08-12,Another position,Voluntarily Terminated,Production       ,Kissy Sullivan,4.2,13
"Robinson, Alain  ",10047,1,3,50428,Production Technician I,01-07-74,M ,01-10-11,1/26/2016,attendance,Voluntarily Terminated,Production       ,Amy Dunn,5,11
"Robinson, Cherly",10285,1,2,61422,Production Technician I,01-07-85,F,01-10-11,5/17/2016,attendance,Terminated for Cause,Production       ,Ketsia Liebig,3.6,16
"Robinson, Elias",10020,4,4,63353,Production Technician I,01/28/85,M ,07-08-13,,N/A-StillEmployed,Active,Production       ,Brannon Miller,3.6,4
"Roby, Lori ",10162,1,3,89883,Data Analyst,10-11-81,F,2/16/2015,,N/A-StillEmployed,Active,IT/IS,Simon Roup,3.69,15
"Roehrich, Bianca",10149,0,3,120000,Principal Data Architect,05/27/73,F,01-05-15,11-10-18,Another position,Voluntarily Terminated,IT/IS,Simon Roup,3.88,12
"Roper, Katie",10086,0,3,150290,Data Architect,11/21/72,F,01-07-17,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,4.94,17
"Rose, Ashley  ",10054,3,3,60627,Production Technician I,12-05-74,F,01-06-14,,N/A-StillEmployed,Active,Production       ,David Stanley,5,8
"Rossetti, Bruno",10065,0,3,53180,Production Technician I,03/18/87,M ,04-04-11,8/13/2018,Another position,Voluntarily Terminated,Production       ,Kissy Sullivan,5,4
"Roup,Simon",10198,0,3,140920,IT Manager - DB,04-05-73,M ,1/20/2013,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,3.6,13
"Ruiz, Ricardo",10222,2,3,148999,IT Manager - DB,01-04-64,M ,01-09-12,11-04-15,hours,Voluntarily Terminated,IT/IS,Jennifer Zamora,4.3,8
"Saada, Adell",10126,1,3,86214,Software Engineer,07/24/86,F,11-05-12,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,4.2,2
"Saar-Beckles, Melinda",10295,0,2,47750,Production Technician I,06-06-68,F,07-04-16,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,2.6,4
"Sadki, Nore  ",10260,0,3,46428,Production Technician I,12/21/74,M ,01-05-09,7/30/2018,relocation out of area,Voluntarily Terminated,Production       ,Michael Albert,4.6,7
"Sahoo, Adil",10233,1,3,57975,Production Technician II,04/26/86,M ,8/30/2010,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,4.1,13
"Salter, Jason",10229,2,3,88527,Data Analyst ,12/17/87,M ,01-05-15,10/31/2015,hours,Voluntarily Terminated,IT/IS,Simon Roup,4.2,2
"Sander, Kamrin",10169,1,3,56147,Production Technician I,07-10-88,F,9/29/2014,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,3.51,2
"Sewkumar, Nori",10071,0,3,50923,Production Technician I,03-10-75,F,9/30/2013,,N/A-StillEmployed,Active,Production       ,Webster Butler,5,14
"Shepard, Anita ",10179,1,3,50750,Network Engineer,04/14/81,F,9/30/2014,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,3.31,7
"Shields, Seffi",10091,1,3,52087,Production Technician I,08/24/85,F,8/19/2013,,N/A-StillEmployed,Active,Production       ,Amy Dunn,4.81,15
"Simard, Kramer",10178,1,3,87826,Data Analyst,02-08-70,M ,01-05-15,,N/A-StillEmployed,Active,IT/IS,Simon Roup,3.32,16
"Singh, Nan ",10039,0,3,51920,Administrative Assistant,05/19/88,F,05-01-15,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,5,2
"Sloan, Constance",10095,0,3,63878,Production Technician II,11/25/87,F,10/26/2009,04-08-15,maternity leave - did not return,Voluntarily Terminated,Production       ,Michael Albert,4.68,20
"Smith, Joe",10027,0,4,60656,Production Technician II,10/30/63,M ,9/29/2014,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,4.3,4
"Smith, John",10291,2,2,72992,Sales Manager,08/16/84,M ,5/18/2014,,N/A-StillEmployed,Active,Sales,Debra Houlihan,2.4,16
"Smith, Leigh Ann",10153,1,3,55000,Administrative Assistant,06/14/87,F,9/26/2011,9/25/2013,career change,Voluntarily Terminated,Admin Offices,Brandon R. LeBlanc,3.8,17
"Smith, Sade",10157,0,3,58939,Production Technician I,02-02-65,F,11-11-13,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,3.73,16
"Soto, Julia ",10119,1,3,66593,IT Support,03-12-73,F,06-10-11,,N/A-StillEmployed,Active,IT/IS,Eric Dougall,4.3,19
"Soze, Keyser",10180,1,3,87565,Sr. Network Engineer,02-09-83,M ,6/30/2016,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,3.27,13
"Sparks, Taylor  ",10302,1,1,64021,Production Technician I,07/20/68,F,2/20/2012,,N/A-StillEmployed,Active,Production       ,Brannon Miller,2.4,20
"Spirea, Kelley",10090,1,3,65714,Production Manager,09/30/75,F,10-02-12,,N/A-StillEmployed,Active,Production       ,Janet King,4.83,15
"Squatrito, Kristen",10030,2,4,62425,Production Technician I,03/26/73,F,5/13/2013,6/29/2015,unhappy,Voluntarily Terminated,Production       ,David Stanley,4.1,16
"Stanford,Barbara  M",10278,2,3,47961,Production Technician I,08/25/82,F,01-10-11,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,4.1,9
"Stansfield, Norman",10307,1,1,58273,Area Sales Manager,05-09-74,M ,05-12-14,,N/A-StillEmployed,Active,Sales,Lynn Daneault,1.81,5
"Steans, Tyrone  ",10147,0,3,63003,Accountant I,09-01-86,M ,9/29/2014,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,3.9,9
"Stoica, Rick",10266,1,3,61355,Production Technician I,03/14/85,M ,2/17/2014,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,4.7,4
"Strong, Caitrin",10241,1,3,60120,Area Sales Manager,05-12-89,F,9/27/2010,,N/A-StillEmployed,Active,Sales,John Smith,4.1,18
"Sullivan, Kissy ",10158,1,3,63682,Production Manager,03/28/78,F,01-08-09,,N/A-StillEmployed,Active,Production       ,Janet King,3.73,12
"Sullivan, Timothy",10117,1,3,63025,Production Technician I,10-07-82,M ,01-05-15,,N/A-StillEmployed,Active,Production       ,Michael Albert,4.36,10
"Sutwell, Barbara",10209,0,3,59238,Production Technician I,08/15/68,F,5/14/2012,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,3.4,13
"Szabo, Andrew",10024,0,4,92989,Software Engineer,05-06-83,M ,07-07-14,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,4.5,1
"Tannen, Biff",10173,1,3,90100,BI Developer,10/24/87,M ,4/20/2017,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,3.4,14
"Tavares, Desiree  ",10221,1,3,60754,Production Technician I,04-03-75,F,4/27/2009,04-01-13,Another position,Voluntarily Terminated,Production       ,Webster Butler,4.5,11
"Tejeda, Lenora ",10146,1,3,72202,Production Technician II,05/24/53,F,5/16/2011,07-08-17,Another position,Voluntarily Terminated,Production       ,Elijiah Gray,3.93,3
"Terry, Sharlene ",10161,0,3,58370,Area Sales Manager,05-07-65,F,9/29/2014,,N/A-StillEmployed,Active,Sales,Lynn Daneault,3.69,18
"Theamstern, Sophia",10141,0,3,48413,Production Technician I,05-09-65,F,07-05-11,09-05-16,return to school,Voluntarily Terminated,Production       ,Amy Dunn,3.98,1
"Thibaud, Kenneth",10268,4,3,67176,Production Technician II,09/16/75,M ,6/25/2007,8/30/2010,military,Voluntarily Terminated,Production       ,Webster Butler,4.1,15
"Tippett, Jeanette",10123,2,3,56339,Production Technician I,06-05-67,F,2/18/2013,,N/A-StillEmployed,Active,Production       ,Brannon Miller,4.21,4
"Torrence, Jack",10013,3,4,64397,Area Sales Manager,01/15/68,M ,01-09-06,,N/A-StillEmployed,Active,Sales,Lynn Daneault,4.1,6
"Trang, Mei",10287,0,2,63025,Production Technician I,05/16/83,F,2/17/2014,,N/A-StillEmployed,Active,Production       ,David Stanley,2.44,18
"Tredinnick, Neville ",10044,1,3,75281,Network Engineer,05-05-88,M ,01-05-15,02-12-16,medical issues,Voluntarily Terminated,IT/IS,Peter Monroe,5,11
"True, Edward",10102,0,3,100416,Software Engineer,06/14/83,M ,2/18/2013,4/15/2018,medical issues,Voluntarily Terminated,Software Engineering,Alex Sweetwater,4.6,9
"Trzeciak, Cybil",10270,0,3,74813,Production Technician II,03/15/85,F,01-10-11,07-02-14,unhappy,Voluntarily Terminated,Production       ,Amy Dunn,4.4,5
"Turpin, Jumil",10045,1,3,76029,Network Engineer,03/31/69,M ,3/30/2015,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,5,8
"Valentin,Jackie",10205,1,3,57859,Area Sales Manager,05/23/91,F,07-05-11,,N/A-StillEmployed,Active,Sales,John Smith,2.81,16
"Veera, Abdellah ",10014,2,4,58523,Production Technician I,01/31/87,M ,8/13/2012,02-05-16,maternity leave - did not return,Voluntarily Terminated,Production       ,Kissy Sullivan,4.5,15
"Vega, Vincent",10144,2,3,88976,Production Manager,10-10-68,M ,08-01-11,,N/A-StillEmployed,Active,Production       ,Janet King,3.93,19
"Villanueva, Noah",10253,0,3,55875,Area Sales Manager,07-11-89,M ,03-05-12,,N/A-StillEmployed,Active,Sales,John Smith,4.5,11
"Voldemort, Lord",10118,1,3,113999,Database Administrator,08-07-86,M ,2/16/2015,2/22/2017,"no-call, no-show",Terminated for Cause,IT/IS,Simon Roup,4.33,9
"Volk, Colleen",10022,1,4,49773,Production Technician I,06-03-86,F,9/26/2011,02-08-16,gross misconduct,Terminated for Cause,Production       ,Kelley Spirea,4.3,18
"Von Massenbach, Anna",10183,0,3,62068,Production Technician I,04-06-85,F,07-05-15,,N/A-StillEmployed,Active,Production       ,Michael Albert,3.21,7
"Walker, Roger",10190,0,3,66541,Production Technician II,02-10-76,M ,8/18/2014,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,3.11,4
"Wallace, Courtney  E",10274,1,3,80512,Production Manager,11/14/55,F,9/26/2011,01-02-12,Another position,Voluntarily Terminated,Production       ,Janet King,4.5,5
"Wallace, Theresa",10293,0,2,50274,Production Technician I,08-02-80,F,8/13/2012,09-01-15,career change,Voluntarily Terminated,Production       ,Elijiah Gray,2.5,13
"Wang, Charlie",10172,0,3,84903,Senior BI Developer,07-08-81,M ,2/15/2017,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,3.42,17
"Warfield, Sarah",10127,4,3,107226,Sr. Network Engineer,05-02-78,F,3/30/2015,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,4.2,7
"Whittier, Scott",10072,0,3,58371,Production Technician I,05/24/87,M ,01-10-11,5/15/2014,hours,Voluntarily Terminated,Production       ,Webster Butler,5,11
"Wilber, Barry",10048,1,3,55140,Production Technician I,09-09-65,M ,5/16/2011,09-07-15,unhappy,Voluntarily Terminated,Production       ,Amy Dunn,5,7
"Wilkes, Annie",10204,2,3,58062,Production Technician I,07/30/83,F,01-10-11,5/14/2012,Another position,Voluntarily Terminated,Production       ,Ketsia Liebig,3.6,9
"Williams, Jacquelyn  ",10264,0,3,59728,Production Technician I,10-02-69,F,01-09-12,6/27/2015,relocation out of area,Voluntarily Terminated,Production       ,Ketsia Liebig,4.3,16
"Winthrop, Jordan  ",10033,0,4,70507,Production Technician II,11-07-58,M ,01-07-13,2/21/2016,retiring,Voluntarily Terminated,Production       ,Brannon Miller,5,7
"Wolk, Hang  T",10174,0,3,60446,Production Technician II,04/20/85,F,9/29/2014,,N/A-StillEmployed,Active,Production       ,David Stanley,3.4,14
"Woodson, Jason",10135,0,3,65893,Production Technician II,05-11-85,M ,07-07-14,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,4.07,13
"Ybarra, Catherine ",10301,0,1,48513,Production Technician I,05-04-82,F,09-02-08,9/29/2015,Another position,Voluntarily Terminated,Production       ,Brannon Miller,3.2,4
"Zamora, Jennifer",10010,0,4,220450,CIO,08/30/79,F,04-10-10,,N/A-StillEmployed,Active,IT/IS,Janet King,4.6,16
"Zhou, Julia",10043,0,3,89292,Data Analyst,02/24/79,F,3/30/2015,,N/A-StillEmployed,Active,IT/IS,Simon Roup,5,11
"Zima, Colleen",10271,4,3,45046,Production Technician I,08/17/78,F,9/29/2014,,N/A-StillEmployed,Active,Production       ,David Stanley,4.5,2
